Designator,Footprint,Quantity,Comment,Supplier and ref
"C13, C14",C_0402_1005Metric,2,10uF,
"R7, R6",R_0402_1005Metric,2,10K / 1K,
"C8, C4, C11, C7, C12, C5, C17, C9, C3, C2, C6",C_0402_1005Metric,11,0.1uF,
R5,R_0402_1005Metric,1,1K,
"R1, R2",R_0402_1005Metric,2,5.1K,
"R4, R3",R_0402_1005Metric,2,27,
"C16, C15",C_0402_1005Metric,2,33pF,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"C1, C10",C_0402_1005Metric,2,1uF,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"D1, D2",D_SOD-123,2,D_Schottky,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
U2,SOT-23,1,MCP1700x-330xxTT,
"J3, J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J5,PinHeader_1x02_P2.00mm_Horizontal,1,Conn_01x02,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,